"Race recode (White, Black, Other)","RT","RP","Year of diagnosis (1983-2004)","Age-Adjusted Rate","Count","Population"
All races,RT,RP,1983,1.7,165,10751949
All races,RT,RP,1984,2.0,196,10851660
All races,RT,RP,1985,2.2,220,10963253
All races,RT,RP,1986,2.6,261,11074773
All races,RT,RP,1987,3.3,326,11186897
All races,RT,RP,1988,4.3,426,11306487
All races,RT,RP,1989,4.3,432,11424312
All races,RT,RP,1990,5.3,545,11582818
All races,RT,RP,1991,8.2,844,11754761
All races,RT,RP,1992,9.6,990,11945461
All races,RT,RP,1993,7.3,778,12121185
All races,RT,RP,1994,5.0,536,12278910
All races,RT,RP,1995,3.7,400,12443019
All races,RT,RP,1996,4.0,435,12601642
All races,RT,RP,1997,3.7,414,12762338
All races,RT,RP,1998,2.4,275,12912848
All races,RT,RP,1999,2.4,286,13049559
All races,RT,RP,2000,2.5,299,13194149
All races,RT,RP,2001,2.1,255,13338229
All races,RT,RP,2002,2.3,291,13444462
All races,RT,RP,2003,2.0,273,13551407
All races,RT,RP,2004,2.0,277,13654541
All races,RT,[OTHER],1983,17.1,1464,10751949
All races,RT,[OTHER],1984,17.3,1488,10851660
All races,RT,[OTHER],1985,18.5,1622,10963253
All races,RT,[OTHER],1986,18.5,1648,11074773
All races,RT,[OTHER],1987,24.8,2214,11186897
All races,RT,[OTHER],1988,26.1,2307,11306487
All races,RT,[OTHER],1989,28.0,2522,11424312
All races,RT,[OTHER],1990,32.6,2954,11582818
All races,RT,[OTHER],1991,44.9,4139,11754761
All races,RT,[OTHER],1992,51.9,4968,11945461
All races,RT,[OTHER],1993,44.8,4468,12121185
All races,RT,[OTHER],1994,39.4,4044,12278910
All races,RT,[OTHER],1995,38.4,4012,12443019
All races,RT,[OTHER],1996,42.1,4422,12601642
All races,RT,[OTHER],1997,48.1,5111,12762338
All races,RT,[OTHER],1998,56.1,6026,12912848
All races,RT,[OTHER],1999,62.0,6717,13049559
All races,RT,[OTHER],2000,64.9,7125,13194149
All races,RT,[OTHER],2001,68.4,7587,13338229
All races,RT,[OTHER],2002,66.4,7488,13444462
All races,RT,[OTHER],2003,60.8,6992,13551407
All races,RT,[OTHER],2004,56.7,6633,13654541
All races,[OTHER],RP,1983,5.8,562,10751949
All races,[OTHER],RP,1984,6.6,642,10851660
All races,[OTHER],RP,1985,9.1,900,10963253
All races,[OTHER],RP,1986,11.6,1161,11074773
All races,[OTHER],RP,1987,14.2,1421,11186897
All races,[OTHER],RP,1988,18.1,1831,11306487
All races,[OTHER],RP,1989,21.2,2184,11424312
All races,[OTHER],RP,1990,30.7,3180,11582818
All races,[OTHER],RP,1991,46.4,4853,11754761
All races,[OTHER],RP,1992,56.8,6023,11945461
All races,[OTHER],RP,1993,49.2,5285,12121185
All races,[OTHER],RP,1994,44.6,4843,12278910
All races,[OTHER],RP,1995,44.6,4877,12443019
All races,[OTHER],RP,1996,43.7,4823,12601642
All races,[OTHER],RP,1997,44.8,5026,12762338
All races,[OTHER],RP,1998,41.1,4691,12912848
All races,[OTHER],RP,1999,46.2,5377,13049559
All races,[OTHER],RP,2000,43.7,5189,13194149
All races,[OTHER],RP,2001,45.2,5509,13338229
All races,[OTHER],RP,2002,44.5,5630,13444462
All races,[OTHER],RP,2003,42.4,5569,13551407
All races,[OTHER],RP,2004,42.3,5714,13654541
All races,[OTHER],[OTHER],1983,54.6,3736,10751949
All races,[OTHER],[OTHER],1984,52.2,3654,10851660
All races,[OTHER],[OTHER],1985,50.4,3584,10963253
All races,[OTHER],[OTHER],1986,50.3,3669,11074773
All races,[OTHER],[OTHER],1987,54.1,4040,11186897
All races,[OTHER],[OTHER],1988,49.0,3723,11306487
All races,[OTHER],[OTHER],1989,49.0,3843,11424312
All races,[OTHER],[OTHER],1990,53.4,4235,11582818
All races,[OTHER],[OTHER],1991,56.3,4563,11754761
All races,[OTHER],[OTHER],1992,60.8,5140,11945461
All races,[OTHER],[OTHER],1993,58.5,5160,12121185
All races,[OTHER],[OTHER],1994,55.7,5077,12278910
All races,[OTHER],[OTHER],1995,54.3,5053,12443019
All races,[OTHER],[OTHER],1996,54.5,5140,12601642
All races,[OTHER],[OTHER],1997,55.3,5341,12762338
All races,[OTHER],[OTHER],1998,50.1,4918,12912848
All races,[OTHER],[OTHER],1999,52.7,5277,13049559
All races,[OTHER],[OTHER],2000,53.9,5501,13194149
All races,[OTHER],[OTHER],2001,53.3,5564,13338229
All races,[OTHER],[OTHER],2002,52.8,5639,13444462
All races,[OTHER],[OTHER],2003,48.7,5291,13551407
All races,[OTHER],[OTHER],2004,45.1,5044,13654541
White,RT,RP,1983,1.9,157,8883099
White,RT,RP,1984,2.1,176,8932414
White,RT,RP,1985,2.4,203,8990035
White,RT,RP,1986,2.8,238,9048620
White,RT,RP,1987,3.5,303,9105937
White,RT,RP,1988,4.6,395,9171061
White,RT,RP,1989,4.7,410,9232664
White,RT,RP,1990,5.6,484,9324817
White,RT,RP,1991,8.7,761,9430096
White,RT,RP,1992,10.1,886,9546388
White,RT,RP,1993,7.3,652,9645535
White,RT,RP,1994,5.0,453,9726018
White,RT,RP,1995,3.7,332,9814843
White,RT,RP,1996,3.8,350,9898846
White,RT,RP,1997,3.7,339,9985729
White,RT,RP,1998,2.4,231,10066304
White,RT,RP,1999,2.4,232,10135731
White,RT,RP,2000,2.6,252,10200905
White,RT,RP,2001,2.1,208,10280247
White,RT,RP,2002,2.4,244,10332247
White,RT,RP,2003,2.0,217,10386980
White,RT,RP,2004,2.0,221,10440355
