"","race","age","yeardth","rate","count","pop","yearbth","mod","modnotreat","modcrazytreat"
"1","Black",87.5,1969,208.4,202,96908,1881.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"2","White",87.5,1969,165.4,2027,1225623,1881.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"3","Black",87.5,1970,201.6,206,102163,1882.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"4","White",87.5,1970,162.1,2101,1296408,1882.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"5","Black",87.5,1971,222.5,239,107408,1883.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"6","White",87.5,1971,164.5,2249,1367131,1883.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"7","Black",87.5,1972,217.5,244,112180,1884.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"8","White",87.5,1972,161.3,2317,1436713,1884.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"9","Black",87.5,1973,238.9,280,117196,1885.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"10","White",87.5,1973,164.2,2474,1506715,1885.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"11","Black",82.5,1969,217.1,300,138194,1886.5,0.0023330074222889,0.0023330074222889,0.0023330074222889
"12","White",82.5,1969,136.8,2807,2051686,1886.5,0.00133861640144378,0.00133861640144378,0.00133861640144378
"13","Black",87.5,1974,217.3,270,124267,1886.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"14","White",87.5,1974,157.9,2521,1596179,1886.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"15","Black",82.5,1970,218.5,315,144188,1887.5,0.0023330074222889,0.0023330074222889,0.0023330074222889
"16","White",82.5,1970,138.7,2956,2131239,1887.5,0.00133861640144378,0.00133861640144378,0.00133861640144378
"17","Black",87.5,1975,252.4,329,130347,1887.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"18","White",87.5,1975,157.7,2656,1683849,1887.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"19","Black",82.5,1971,228.4,343,150166,1888.5,0.0023330074222889,0.0023330074222889,0.0023330074222889
"20","White",82.5,1971,136.5,3017,2210687,1888.5,0.00133861640144378,0.00133861640144378,0.00133861640144378
"21","Black",87.5,1976,250.4,332,132598,1888.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"22","White",87.5,1976,166,2856,1720240,1888.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"23","Black",82.5,1972,223,347,155631,1889.5,0.0023330074222889,0.0023330074222889,0.0023330074222889
"24","White",82.5,1972,140.3,3212,2289312,1889.5,0.00133861640144378,0.00133861640144378,0.00133861640144378
"25","Black",87.5,1977,259.2,362,139663,1889.5,0.00274719943354509,0.00274719943354509,0.00274719943354509
"26","White",87.5,1977,167.4,3042,1817123,1889.5,0.00164292491422796,0.00164292491422796,0.00164292491422796
"27","Black",82.5,1973,219.6,354,161207,1890.5,0.0023330074222889,0.0023330074222889,0.0023330074222889
