Age recode with <1 year olds,Year of diagnosis,"Race recode (White, Black, Other)",Crude Rate,Count,Population
00 years,1973-2014,All races,0,2,7729543
00 years,1973-2014,White,0,2,5808669
00 years,1973-2014,Black,0,0,1060433
00 years,1973-2014,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,860441
00 years,1973-2014,Unknown,NA,0,0
00 years,1973,All races,0,0,126181
00 years,1973,White,0,0,102046
00 years,1973,Black,0,0,14172
00 years,1973,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,9963
00 years,1973,Unknown,NA,0,0
00 years,1974,All races,0,0,139284
00 years,1974,White,0,0,114339
00 years,1974,Black,0,0,14496
00 years,1974,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,10449
00 years,1974,Unknown,NA,0,0
00 years,1975,All races,0,0,154544
00 years,1975,White,0,0,125386
00 years,1975,Black,0,0,18592
00 years,1975,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,10566
00 years,1975,Unknown,NA,0,0
00 years,1976,All races,0,0,152981
00 years,1976,White,0,0,123935
00 years,1976,Black,0,0,18263
00 years,1976,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,10783
00 years,1976,Unknown,NA,0,0
00 years,1977,All races,0,0,161475
00 years,1977,White,0,0,130960
00 years,1977,Black,0,0,19284
00 years,1977,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,11231
00 years,1977,Unknown,NA,0,0
00 years,1978,All races,0,0,164614
00 years,1978,White,0,0,133403
00 years,1978,Black,0,0,19259
00 years,1978,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,11952
00 years,1978,Unknown,NA,0,0
00 years,1979,All races,0,0,170434
00 years,1979,White,0,0,137626
00 years,1979,Black,0,0,19962
00 years,1979,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,12846
00 years,1979,Unknown,NA,0,0
00 years,1980,All races,0,0,177967
00 years,1980,White,0,0,142732
00 years,1980,Black,0,0,21031
00 years,1980,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,14204
00 years,1980,Unknown,NA,0,0
00 years,1981,All races,0,0,181207
00 years,1981,White,0,0,144710
00 years,1981,Black,0,0,21185
00 years,1981,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,15312
00 years,1981,Unknown,NA,0,0
00 years,1982,All races,0,0,182240
00 years,1982,White,0,0,144484
00 years,1982,Black,0,0,21617
00 years,1982,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,16139
00 years,1982,Unknown,NA,0,0
00 years,1983,All races,0,0,182172
00 years,1983,White,0,0,143578
00 years,1983,Black,0,0,21759
00 years,1983,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,16835
00 years,1983,Unknown,NA,0,0
00 years,1984,All races,0,0,177277
00 years,1984,White,0,0,139216
00 years,1984,Black,0,0,21546
00 years,1984,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,16515
00 years,1984,Unknown,NA,0,0
00 years,1985,All races,0,0,181739
00 years,1985,White,0,0,142262
00 years,1985,Black,0,0,22548
00 years,1985,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,16929
00 years,1985,Unknown,NA,0,0
00 years,1986,All races,0,0,182021
00 years,1986,White,0,0,141592
00 years,1986,Black,0,0,23314
00 years,1986,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,17115
00 years,1986,Unknown,NA,0,0
00 years,1987,All races,0.5,1,182148
00 years,1987,White,0.7,1,140464
00 years,1987,Black,0,0,24302
00 years,1987,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,17382
00 years,1987,Unknown,NA,0,0
00 years,1988,All races,0,0,185226
00 years,1988,White,0,0,141494
00 years,1988,Black,0,0,25669
00 years,1988,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,18063
00 years,1988,Unknown,NA,0,0
00 years,1989,All races,0,0,190758
00 years,1989,White,0,0,143993
00 years,1989,Black,0,0,27784
00 years,1989,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,18981
00 years,1989,Unknown,NA,0,0
00 years,1990,All races,0,0,198056
00 years,1990,White,0,0,149253
00 years,1990,Black,0,0,28910
00 years,1990,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,19893
00 years,1990,Unknown,NA,0,0
00 years,1991,All races,0,0,195854
00 years,1991,White,0,0,147517
00 years,1991,Black,0,0,27323
00 years,1991,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,21014
00 years,1991,Unknown,NA,0,0
00 years,1992,All races,0,0,193993
00 years,1992,White,0,0,145491
00 years,1992,Black,0,0,27216
00 years,1992,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,21286
00 years,1992,Unknown,NA,0,0
00 years,1993,All races,0,0,191102
00 years,1993,White,0,0,142893
00 years,1993,Black,0,0,27106
00 years,1993,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,21103
00 years,1993,Unknown,NA,0,0
00 years,1994,All races,0,0,188195
00 years,1994,White,0,0,140134
00 years,1994,Black,0,0,26673
00 years,1994,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,21388
00 years,1994,Unknown,NA,0,0
00 years,1995,All races,0,0,186548
00 years,1995,White,0,0,139253
00 years,1995,Black,0,0,26085
00 years,1995,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,21210
00 years,1995,Unknown,NA,0,0
00 years,1996,All races,0,0,184889
00 years,1996,White,0,0,139219
00 years,1996,Black,0,0,25130
00 years,1996,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,20540
00 years,1996,Unknown,NA,0,0
00 years,1997,All races,0,0,186343
00 years,1997,White,0,0,139224
00 years,1997,Black,0,0,26176
00 years,1997,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,20943
00 years,1997,Unknown,NA,0,0
00 years,1998,All races,0,0,187226
00 years,1998,White,0,0,139225
00 years,1998,Black,0,0,26680
00 years,1998,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,21321
00 years,1998,Unknown,NA,0,0
00 years,1999,All races,0.5,1,188320
00 years,1999,White,0.7,1,139775
00 years,1999,Black,0,0,27369
00 years,1999,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,21176
00 years,1999,Unknown,NA,0,0
00 years,2000,All races,0,0,191596
00 years,2000,White,0,0,141017
00 years,2000,Black,0,0,28571
00 years,2000,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,22008
00 years,2000,Unknown,NA,0,0
00 years,2001,All races,0,0,198292
00 years,2001,White,0,0,144886
00 years,2001,Black,0,0,28610
00 years,2001,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,24796
00 years,2001,Unknown,NA,0,0
00 years,2002,All races,0,0,194739
00 years,2002,White,0,0,142479
00 years,2002,Black,0,0,27641
00 years,2002,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,24619
00 years,2002,Unknown,NA,0,0
00 years,2003,All races,0,0,196240
00 years,2003,White,0,0,142648
00 years,2003,Black,0,0,27487
00 years,2003,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,26105
00 years,2003,Unknown,NA,0,0
00 years,2004,All races,0,0,196553
00 years,2004,White,0,0,142590
00 years,2004,Black,0,0,27636
00 years,2004,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,26327
00 years,2004,Unknown,NA,0,0
00 years,2005,All races,0,0,194954
00 years,2005,White,0,0,141005
00 years,2005,Black,0,0,27416
00 years,2005,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,26533
00 years,2005,Unknown,NA,0,0
00 years,2006,All races,0,0,198980
00 years,2006,White,0,0,143521
00 years,2006,Black,0,0,28657
00 years,2006,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,26802
00 years,2006,Unknown,NA,0,0
00 years,2007,All races,0,0,203376
00 years,2007,White,0,0,145347
00 years,2007,Black,0,0,29802
00 years,2007,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,28227
00 years,2007,Unknown,NA,0,0
00 years,2008,All races,0,0,200246
00 years,2008,White,0,0,141501
00 years,2008,Black,0,0,29625
00 years,2008,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,29120
00 years,2008,Unknown,NA,0,0
00 years,2009,All races,0,0,196297
00 years,2009,White,0,0,138279
00 years,2009,Black,0,0,29753
00 years,2009,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,28265
00 years,2009,Unknown,NA,0,0
00 years,2010,All races,0,0,194306
00 years,2010,White,0,0,136745
00 years,2010,Black,0,0,30000
00 years,2010,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,27561
00 years,2010,Unknown,NA,0,0
00 years,2011,All races,0,0,193738
00 years,2011,White,0,0,134874
00 years,2011,Black,0,0,30593
00 years,2011,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,28271
00 years,2011,Unknown,NA,0,0
00 years,2012,All races,0,0,191434
00 years,2012,White,0,0,132599
00 years,2012,Black,0,0,30143
00 years,2012,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,28692
00 years,2012,Unknown,NA,0,0
00 years,2013,All races,0,0,192546
00 years,2013,White,0,0,133126
00 years,2013,Black,0,0,29963
00 years,2013,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,29457
00 years,2013,Unknown,NA,0,0
00 years,2014,All races,0,0,193452
00 years,2014,White,0,0,133848
00 years,2014,Black,0,0,31085
00 years,2014,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,28519
00 years,2014,Unknown,NA,0,0
01-04 years,1973-2014,All races,0.1,19,30272232
01-04 years,1973-2014,White,0.1,18,22730328
01-04 years,1973-2014,Black,0,0,4216014
01-04 years,1973-2014,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,1,3325890
01-04 years,1973-2014,Unknown,NA,0,0
01-04 years,1973,All races,0,0,546900
01-04 years,1973,White,0,0,448934
01-04 years,1973,Black,0,0,60515
01-04 years,1973,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,37451
01-04 years,1973,Unknown,NA,0,0
01-04 years,1974,All races,0,0,600412
01-04 years,1974,White,0,0,495536
01-04 years,1974,Black,0,0,63316
01-04 years,1974,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,41560
01-04 years,1974,Unknown,NA,0,0
01-04 years,1975,All races,0,0,628150
01-04 years,1975,White,0,0,506617
01-04 years,1975,Black,0,0,78690
01-04 years,1975,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,42843
01-04 years,1975,Unknown,NA,0,0
01-04 years,1976,All races,0,0,607112
01-04 years,1976,White,0,0,488395
01-04 years,1976,Black,0,0,75618
01-04 years,1976,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,43099
01-04 years,1976,Unknown,NA,0,0
01-04 years,1977,All races,0,0,598792
01-04 years,1977,White,0,0,480866
01-04 years,1977,Black,0,0,73700
01-04 years,1977,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,44226
01-04 years,1977,Unknown,NA,0,0
01-04 years,1978,All races,0,0,607208
01-04 years,1978,White,0,0,487916
01-04 years,1978,Black,0,0,73730
01-04 years,1978,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,45562
01-04 years,1978,Unknown,NA,0,0
01-04 years,1979,All races,0.2,1,620852
01-04 years,1979,White,0.2,1,498352
01-04 years,1979,Black,0,0,74574
01-04 years,1979,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,47926
01-04 years,1979,Unknown,NA,0,0
01-04 years,1980,All races,0,0,635827
01-04 years,1980,White,0,0,508047
01-04 years,1980,Black,0,0,77206
01-04 years,1980,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,50574
01-04 years,1980,Unknown,NA,0,0
01-04 years,1981,All races,0,0,656594
01-04 years,1981,White,0,0,522251
01-04 years,1981,Black,0,0,80120
01-04 years,1981,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,54223
01-04 years,1981,Unknown,NA,0,0
01-04 years,1982,All races,0.1,1,668917
01-04 years,1982,White,0.2,1,529474
01-04 years,1982,Black,0,0,81545
01-04 years,1982,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,57898
01-04 years,1982,Unknown,NA,0,0
01-04 years,1983,All races,0,0,682766
01-04 years,1983,White,0,0,537921
01-04 years,1983,Black,0,0,83501
01-04 years,1983,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,61344
01-04 years,1983,Unknown,NA,0,0
01-04 years,1984,All races,0.1,1,691500
01-04 years,1984,White,0.2,1,542735
01-04 years,1984,Black,0,0,84580
01-04 years,1984,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,0,64185
01-04 years,1984,Unknown,NA,0,0
01-04 years,1985,All races,0.1,1,691863
01-04 years,1985,White,0.2,1,540945
01-04 years,1985,Black,0,0,85190
