"Race recode (White, Black, Other)","Age recode with <1 year olds","Year of death","Age-Adjusted Rate","Count","Population"
All races,00 years,1969-2014,0.0,10,87735590
All races,00 years,1969,NA,NA,1782291
All races,00 years,1970,NA,NA,1790972
All races,00 years,1971,NA,NA,1842371
All races,00 years,1972,NA,NA,1687935
All races,00 years,1973,NA,NA,1597792
All races,00 years,1974,NA,NA,1569078
All races,00 years,1975,NA,NA,1613934
All races,00 years,1976,NA,NA,1593770
All races,00 years,1977,NA,NA,1680699
All races,00 years,1978,NA,NA,1703027
All races,00 years,1979,NA,NA,1753468
All races,00 years,1980,NA,NA,1819797
All races,00 years,1981,NA,NA,1845799
All races,00 years,1982,NA,NA,1863917
All races,00 years,1983,NA,NA,1867944
All races,00 years,1984,NA,NA,1827912
All races,00 years,1985,NA,NA,1882528
All races,00 years,1986,NA,NA,1893370
All races,00 years,1987,NA,NA,1894845
All races,00 years,1988,NA,NA,1921627
All races,00 years,1989,NA,NA,1972741
All races,00 years,1990,NA,NA,2039510
All races,00 years,1991,NA,NA,2047816
All races,00 years,1992,NA,NA,2030390
All races,00 years,1993,NA,NA,1995451
All races,00 years,1994,NA,NA,1964865
All races,00 years,1995,NA,NA,1941251
All races,00 years,1996,NA,NA,1917647
All races,00 years,1997,NA,NA,1920124
All races,00 years,1998,NA,NA,1928364
All races,00 years,1999,NA,NA,1943639
All races,00 years,2000,NA,NA,1974134
All races,00 years,2001,NA,NA,2049753
All races,00 years,2002,NA,NA,2018522
All races,00 years,2003,NA,NA,2033237
All races,00 years,2004,NA,NA,2052042
All races,00 years,2005,NA,NA,2047711
All races,00 years,2006,NA,NA,2065819
All races,00 years,2007,NA,NA,2120816
All races,00 years,2008,NA,NA,2109846
All races,00 years,2009,NA,NA,2044418
All races,00 years,2010,NA,NA,2018420
All races,00 years,2011,NA,NA,2028427
All races,00 years,2012,NA,NA,2007717
All races,00 years,2013,NA,NA,2009528
All races,00 years,2014,NA,NA,2020326
All races,01-04 years,1969-2014,0.0,24,346210644
All races,01-04 years,1969,NA,NA,6932325
All races,01-04 years,1970,NA,NA,6962977
All races,01-04 years,1971,NA,NA,6950975
All races,01-04 years,1972,NA,NA,7032485
All races,01-04 years,1973,NA,NA,6994815
All races,01-04 years,1974,NA,NA,6845157
All races,01-04 years,1975,NA,NA,6625780
All races,01-04 years,1976,NA,NA,6390058
All races,01-04 years,1977,NA,NA,6283226
All races,01-04 years,1978,NA,NA,6350899
All races,01-04 years,1979,NA,NA,6465705
All races,01-04 years,1980,NA,NA,6594447
All races,01-04 years,1981,NA,NA,6794290
All races,01-04 years,1982,NA,NA,6945455
All races,01-04 years,1983,NA,NA,7105504
All races,01-04 years,1984,NA,NA,7222343
All races,01-04 years,1985,NA,NA,7244340
All races,01-04 years,1986,NA,NA,7296082
All races,01-04 years,1987,NA,NA,7341625
All races,01-04 years,1988,NA,NA,7387799
All races,01-04 years,1989,NA,NA,7496196
All races,01-04 years,1990,NA,NA,7610118
All races,01-04 years,1991,NA,NA,7780558
All races,01-04 years,1992,NA,NA,7959894
All races,01-04 years,1993,NA,NA,8101371
All races,01-04 years,1994,NA,NA,8156896
All races,01-04 years,1995,NA,NA,8103217
All races,01-04 years,1996,NA,NA,8015376
All races,01-04 years,1997,NA,NA,7923876
All races,01-04 years,1998,NA,NA,7868629
All races,01-04 years,1999,NA,NA,7846168
All races,01-04 years,2000,NA,NA,7836485
All races,01-04 years,2001,NA,NA,7817023
All races,01-04 years,2002,NA,NA,7913020
All races,01-04 years,2003,NA,NA,7979882
All races,01-04 years,2004,NA,NA,8058452
All races,01-04 years,2005,NA,NA,8127884
All races,01-04 years,2006,NA,NA,8122053
All races,01-04 years,2007,NA,NA,8164877
All races,01-04 years,2008,NA,NA,8247098
All races,01-04 years,2009,NA,NA,8297671
All races,01-04 years,2010,NA,NA,8294601
All races,01-04 years,2011,NA,NA,8253114
All races,01-04 years,2012,NA,NA,8199393
All races,01-04 years,2013,NA,NA,8134318
All races,01-04 years,2014,NA,NA,8136187
All races,05-09 years,1969-2014,0.0,27,441323730
All races,05-09 years,1969,NA,NA,10427300
All races,05-09 years,1970,NA,NA,10154669
All races,05-09 years,1971,NA,NA,9882096
All races,05-09 years,1972,NA,NA,9598008
All races,05-09 years,1973,NA,NA,9308692
All races,05-09 years,1974,NA,NA,9066501
All races,05-09 years,1975,NA,NA,8970912
All races,05-09 years,1976,NA,NA,9019697
All races,05-09 years,1977,NA,NA,8954601
All races,05-09 years,1978,NA,NA,8839636
All races,05-09 years,1979,NA,NA,8664162
All races,05-09 years,1980,NA,NA,8491494
All races,05-09 years,1981,NA,NA,8214439
All races,05-09 years,1982,NA,NA,8166733
All races,05-09 years,1983,NA,NA,8218026
All races,05-09 years,1984,NA,NA,8363274
All races,05-09 years,1985,NA,NA,8528060
All races,05-09 years,1986,NA,NA,8750467
All races,05-09 years,1987,NA,NA,8918361
All races,05-09 years,1988,NA,NA,9088407
All races,05-09 years,1989,NA,NA,9170420
All races,05-09 years,1990,NA,NA,9253842
All races,05-09 years,1991,NA,NA,9359079
All races,05-09 years,1992,NA,NA,9436077
All races,05-09 years,1993,NA,NA,9545628
All races,05-09 years,1994,NA,NA,9740148
All races,05-09 years,1995,NA,NA,9953142
All races,05-09 years,1996,NA,NA,10168554
All races,05-09 years,1997,NA,NA,10368617
All races,05-09 years,1998,NA,NA,10503792
All races,05-09 years,1999,NA,NA,10553842
All races,05-09 years,2000,NA,NA,10479357
All races,05-09 years,2001,NA,NA,10329064
All races,05-09 years,2002,NA,NA,10172682
All races,05-09 years,2003,NA,NA,10039604
All races,05-09 years,2004,NA,NA,9951006
All races,05-09 years,2005,NA,NA,9915167
All races,05-09 years,2006,NA,NA,9989515
All races,05-09 years,2007,NA,NA,10073928
All races,05-09 years,2008,NA,NA,10181114
All races,05-09 years,2009,NA,NA,10307755
All races,05-09 years,2010,NA,NA,10380621
All races,05-09 years,2011,NA,NA,10382855
All races,05-09 years,2012,NA,NA,10453913
All races,05-09 years,2013,NA,NA,10506934
All races,05-09 years,2014,NA,NA,10481539
All races,10-14 years,1969-2014,0.0,20,459832194
All races,10-14 years,1969,NA,NA,10506873
All races,10-14 years,1970,NA,NA,10625831
All races,10-14 years,1971,NA,NA,10744865
All races,10-14 years,1972,NA,NA,10742605
All races,10-14 years,1973,NA,NA,10708621
All races,10-14 years,1974,NA,NA,10657783
All races,10-14 years,1975,NA,NA,10532635
All races,10-14 years,1976,NA,NA,10254274
All races,10-14 years,1977,NA,NA,9959597
All races,10-14 years,1978,NA,NA,9662778
All races,10-14 years,1979,NA,NA,9417290
All races,10-14 years,1980,NA,NA,9313216
All races,10-14 years,1981,NA,NA,9351568
All races,10-14 years,1982,NA,NA,9277216
All races,10-14 years,1983,NA,NA,9138502
All races,10-14 years,1984,NA,NA,8930020
All races,10-14 years,1985,NA,NA,8718386
All races,10-14 years,1986,NA,NA,8435023
All races,10-14 years,1987,NA,NA,8389385
All races,10-14 years,1988,NA,NA,8452654
All races,10-14 years,1989,NA,NA,8605812
All races,10-14 years,1990,NA,NA,8817214
All races,10-14 years,1991,NA,NA,9097039
All races,10-14 years,1992,NA,NA,9348471
All races,10-14 years,1993,NA,NA,9592653
All races,10-14 years,1994,NA,NA,9735451
All races,10-14 years,1995,NA,NA,9840840
All races,10-14 years,1996,NA,NA,9958484
All races,10-14 years,1997,NA,NA,10043343
All races,10-14 years,1998,NA,NA,10158319
All races,10-14 years,1999,NA,NA,10357700
All races,10-14 years,2000,NA,NA,10574642
All races,10-14 years,2001,NA,NA,10747209
All races,10-14 years,2002,NA,NA,10889999
All races,10-14 years,2003,NA,NA,10970478
All races,10-14 years,2004,NA,NA,10967974
All races,10-14 years,2005,NA,NA,10864197
All races,10-14 years,2006,NA,NA,10771194
All races,10-14 years,2007,NA,NA,10670960
All races,10-14 years,2008,NA,NA,10598181
All races,10-14 years,2009,NA,NA,10571832
All races,10-14 years,2010,NA,NA,10578475
All races,10-14 years,2011,NA,NA,10588543
All races,10-14 years,2012,NA,NA,10561981
All races,10-14 years,2013,NA,NA,10547976
All races,10-14 years,2014,NA,NA,10554105
All races,15-19 years,1969-2014,0.0,61,472319553
All races,15-19 years,1969,NA,NA,9461981
All races,15-19 years,1970,NA,NA,9716718
All races,15-19 years,1971,NA,NA,9971537
All races,15-19 years,1972,NA,NA,10227695
All races,15-19 years,1973,NA,NA,10442842
All races,15-19 years,1974,NA,NA,10619453
All races,15-19 years,1975,NA,NA,10756642
All races,15-19 years,1976,NA,NA,10899531
All races,15-19 years,1977,NA,NA,10901441
All races,15-19 years,1978,NA,NA,10886800
All races,15-19 years,1979,NA,NA,10854055
All races,15-19 years,1980,NA,NA,10729644
All races,15-19 years,1981,NA,NA,10444712
All races,15-19 years,1982,NA,NA,10153102
All races,15-19 years,1983,NA,NA,9873063
All races,15-19 years,1984,NA,NA,9643546
All races,15-19 years,1985,NA,NA,9553219
All races,15-19 years,1986,NA,NA,9607007
All races,15-19 years,1987,NA,NA,9559580
All races,15-19 years,1988,NA,NA,9467484
All races,15-19 years,1989,NA,NA,9292892
All races,15-19 years,1990,NA,NA,9116084
All races,15-19 years,1991,NA,NA,8862971
All races,15-19 years,1992,NA,NA,8857670
All races,15-19 years,1993,NA,NA,8977716
All races,15-19 years,1994,NA,NA,9186779
All races,15-19 years,1995,NA,NA,9444867
All races,15-19 years,1996,NA,NA,9726937
All races,15-19 years,1997,NA,NA,9972525
All races,15-19 years,1998,NA,NA,10198737
All races,15-19 years,1999,NA,NA,10323033
All races,15-19 years,2000,NA,NA,10440023
All races,15-19 years,2001,NA,NA,10547387
All races,15-19 years,2002,NA,NA,10628491
All races,15-19 years,2003,NA,NA,10710599
All races,15-19 years,2004,NA,NA,10859759
All races,15-19 years,2005,NA,NA,11051425
All races,15-19 years,2006,NA,NA,11210416
All races,15-19 years,2007,NA,NA,11336490
All races,15-19 years,2008,NA,NA,11405732
All races,15-19 years,2009,NA,NA,11388239
All races,15-19 years,2010,NA,NA,11278951
All races,15-19 years,2011,NA,NA,11123674
All races,15-19 years,2012,NA,NA,10965300
All races,15-19 years,2013,NA,NA,10855302
All races,15-19 years,2014,NA,NA,10787502
All races,20-24 years,1969-2014,0.0,45,464907055
All races,20-24 years,1969,NA,NA,7399693
All races,20-24 years,1970,NA,NA,8036540
All races,20-24 years,1971,NA,NA,8673488
All races,20-24 years,1972,NA,NA,8838459
All races,20-24 years,1973,NA,NA,9067650
All races,20-24 years,1974,NA,NA,9336931
All races,20-24 years,1975,NA,NA,9640140
All races,20-24 years,1976,NA,NA,9896579
All races,20-24 years,1977,NA,NA,10164990
All races,20-24 years,1978,NA,NA,10380857
All races,20-24 years,1979,NA,NA,10559286
All races,20-24 years,1980,NA,NA,10702509
All races,20-24 years,1981,NA,NA,10857673
All races,20-24 years,1982,NA,NA,10877072
All races,20-24 years,1983,NA,NA,10869803
All races,20-24 years,1984,NA,NA,10842316
All races,20-24 years,1985,NA,NA,10722949
All races,20-24 years,1986,NA,NA,10485637
All races,20-24 years,1987,NA,NA,10220391
All races,20-24 years,1988,NA,NA,9965212
